<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	21:00:00	1.22510	1.22514	1.22440	1.22485	1142	0	0
2021.01.04	21:15:00	1.22486	1.22493	1.22466	1.22480	718	0	0
2021.01.04	21:30:00	1.22480	1.22508	1.22468	1.22500	753	0	0
2021.01.04	21:45:00	1.22500	1.22525	1.22464	1.22521	1277	0	0
2021.01.04	22:00:00	1.22521	1.22523	1.22441	1.22480	1114	0	0
2021.01.04	22:15:00	1.22480	1.22489	1.22450	1.22456	577	0	0
2021.01.04	22:30:00	1.22456	1.22461	1.22414	1.22444	1126	0	0
2021.01.04	22:45:00	1.22449	1.22495	1.22418	1.22493	1662	0	0
2021.01.04	23:00:00	1.22493	1.22497	1.22433	1.22482	772	0	0
2021.01.04	23:15:00	1.22482	1.22482	1.22421	1.22421	420	0	0
2021.01.04	23:30:00	1.22421	1.22478	1.22418	1.22473	581	0	0
2021.01.04	23:45:00	1.22471	1.22526	1.22458	1.22520	742	0	0
2021.01.05	00:00:00	1.22483	1.22513	1.22432	1.22506	118	0	0
2021.01.05	00:15:00	1.22506	1.22506	1.22461	1.22503	132	0	0
2021.01.05	00:30:00	1.22502	1.22508	1.22495	1.22495	122	0	1
2021.01.05	00:45:00	1.22496	1.22507	1.22495	1.22502	144	0	2
2021.01.05	01:00:00	1.22502	1.22528	1.22471	1.22524	378	0	0
2021.01.05	01:15:00	1.22523	1.22535	1.22477	1.22482	480	0	0
2021.01.05	01:30:00	1.22483	1.22527	1.22483	1.22512	668	0	0
2021.01.05	01:45:00	1.22512	1.22535	1.22500	1.22526	570	0	0
2021.01.05	02:00:00	1.22527	1.22527	1.22472	1.22496	1584	0	0
2021.01.05	02:15:00	1.22497	1.22526	1.22490	1.22525	1382	0	0
2021.01.05	02:30:00	1.22525	1.22553	1.22518	1.22547	1206	0	0
2021.01.05	02:45:00	1.22547	1.22571	1.22535	1.22556	1058	0	0
2021.01.05	03:00:00	1.22557	1.22600	1.22550	1.22600	1861	0	0
2021.01.05	03:15:00	1.22599	1.22630	1.22580	1.22621	1263	0	0
2021.01.05	03:30:00	1.22621	1.22627	1.22588	1.22596	1468	0	0
2021.01.05	03:45:00	1.22595	1.22602	1.22567	1.22570	1546	0	0
2021.01.05	04:00:00	1.22570	1.22615	1.22569	1.22608	1393	0	0
2021.01.05	04:15:00	1.22609	1.22649	1.22598	1.22648	820	0	0
2021.01.05	04:30:00	1.22648	1.22702	1.22644	1.22690	956	0	0
2021.01.05	04:45:00	1.22689	1.22730	1.22665	1.22704	1283	0	0
2021.01.05	05:00:00	1.22705	1.22734	1.22678	1.22734	1127	0	0
2021.01.05	05:15:00	1.22735	1.22754	1.22708	1.22754	818	0	0
2021.01.05	05:30:00	1.22753	1.22769	1.22719	1.22723	871	0	0
2021.01.05	05:45:00	1.22722	1.22732	1.22676	1.22728	1348	0	0
2021.01.05	06:00:00	1.22728	1.22728	1.22669	1.22673	1649	0	0
2021.01.05	06:15:00	1.22674	1.22697	1.22660	1.22672	1898	0	0
2021.01.05	06:30:00	1.22673	1.22685	1.22665	1.22682	1661	0	0
2021.01.05	06:45:00	1.22682	1.22703	1.22679	1.22690	598	0	0
2021.01.05	07:00:00	1.22689	1.22720	1.22689	1.22707	954	0	0
2021.01.05	07:15:00	1.22706	1.22723	1.22698	1.22706	1215	0	0
2021.01.05	07:30:00	1.22707	1.22709	1.22673	1.22679	1191	0	0
2021.01.05	07:45:00	1.22679	1.22734	1.22674	1.22723	886	0	0
2021.01.05	08:00:00	1.22723	1.22733	1.22668	1.22689	2590	0	0
2021.01.05	08:15:00	1.22689	1.22702	1.22669	1.22672	1207	0	0
2021.01.05	08:30:00	1.22673	1.22740	1.22667	1.22732	1389	0	0
2021.01.05	08:45:00	1.22732	1.22744	1.22687	1.22696	1084	0	0
2021.01.05	09:00:00	1.22697	1.22705	1.22614	1.22646	1773	0	0
2021.01.05	09:15:00	1.22645	1.22710	1.22641	1.22700	1898	0	0
2021.01.05	09:30:00	1.22700	1.22706	1.22629	1.22651	1735	0	0
2021.01.05	09:45:00	1.22651	1.22663	1.22553	1.22583	2558	0	0
2021.01.05	10:00:00	1.22584	1.22730	1.22582	1.22697	2519	0	0
2021.01.05	10:15:00	1.22697	1.22788	1.22666	1.22672	4368	0	0
2021.01.05	10:30:00	1.22671	1.22698	1.22612	1.22689	3039	0	0
2021.01.05	10:45:00	1.22689	1.22753	1.22667	1.22743	1963	0	0
2021.01.05	11:00:00	1.22742	1.22805	1.22721	1.22769	2013	0	0
2021.01.05	11:15:00	1.22770	1.22839	1.22747	1.22838	1732	0	0
2021.01.05	11:30:00	1.22838	1.22839	1.22743	1.22784	2297	0	0
2021.01.05	11:45:00	1.22783	1.22815	1.22685	1.22723	2126	0	0
2021.01.05	12:00:00	1.22724	1.22811	1.22715	1.22784	1764	0	0
2021.01.05	12:15:00	1.22783	1.22842	1.22774	1.22813	2531	0	0
2021.01.05	12:30:00	1.22814	1.22843	1.22805	1.22817	1741	0	0
2021.01.05	12:45:00	1.22818	1.22828	1.22756	1.22773	1583	0	0
2021.01.05	13:00:00	1.22774	1.22851	1.22769	1.22806	1543	0	0
2021.01.05	13:15:00	1.22807	1.22848	1.22772	1.22832	1507	0	0
2021.01.05	13:30:00	1.22832	1.22908	1.22817	1.22831	1546	0	0
2021.01.05	13:45:00	1.22832	1.22857	1.22813	1.22831	1436	0	0
2021.01.05	14:00:00	1.22831	1.22848	1.22773	1.22781	2375	0	0
2021.01.05	14:15:00	1.22780	1.22782	1.22671	1.22717	3335	0	0
2021.01.05	14:30:00	1.22717	1.22778	1.22685	1.22710	2235	0	0
2021.01.05	14:45:00	1.22710	1.22739	1.22659	1.22725	3095	0	0
2021.01.05	15:00:00	1.22725	1.22760	1.22691	1.22709	3541	0	0
2021.01.05	15:15:00	1.22710	1.22743	1.22653	1.22685	2272	0	0
2021.01.05	15:30:00	1.22686	1.22731	1.22647	1.22704	3016	0	0
